link,Name,Position,Shoots,Team,Born,Experience,Height_Weight
https://www.basketball-reference.com/players/s/sengual01.html,Alperen Şengün,Center,Right,Houston Rockets,"July 25,
            2002
 (Age: 23-063d)

    in Giresun, Turkey",4 years,"6-11,235lb (211cm, 106kg)"
https://www.basketball-reference.com/players/b/brownja02.html,Jaylen Brown,Small Forward and Shooting Guard,Right,Boston Celtics,"October 24,
            1996
 (Age: 28-337d)

    in Marietta, Georgia",9 years,"6-6,223lb (198cm, 101kg)"
https://www.basketball-reference.com/players/b/barneha02.html,Harrison Barnes,Power Forward and Small Forward,Right,San Antonio Spurs,"May 30,
            1992
 (Age: 33-119d)

    in Ames, Iowa",13 years,"6-8,225lb (203cm, 102kg)"
https://www.basketball-reference.com/players/w/willilo02.html,Lou Williams,Point Guard and Shooting Guard,Right,,"October 27,
            1986
 (Age: 38-334d)

    in Memphis, Tennessee",,"6-2,175lb (188cm, 79kg)"
https://www.basketball-reference.com/players/g/gallida01.html,Danilo Gallinari,"Small Forward, Power Forward, and Shooting Guard",Right,,"August 8,
            1988
 (Age: 37-049d)

    in Sant'Angelo Lodigiano, Italy",14 years,"6-10,233lb (208cm, 105kg)"
https://www.basketball-reference.com/players/t/tatumja01.html,Jayson Tatum,Small Forward and Power Forward,Right,Boston Celtics,"March 3,
            1998
 (Age: 27-207d)

    in St. Louis, Missouri",8 years,"6-8,210lb (203cm, 95kg)"
https://www.basketball-reference.com/players/p/paulch01.html,Chris Paul,Point Guard,Right,Los Angeles Clippers,"May 6,
            1985
 (Age: 40-143d)

    in Winston-Salem, North Carolina",20 years,"6-0,175lb (183cm, 79kg)"
https://www.basketball-reference.com/players/j/jacksja02.html,Jaren Jackson Jr.,Center and Power Forward,Right,Memphis Grizzlies,"September 15,
            1999
 (Age: 26-011d)

    in Plainfield, New Jersey",7 years,"6-10,242lb (208cm, 109kg)"
https://www.basketball-reference.com/players/l/lavinza01.html,Zach LaVine,"Shooting Guard, Small Forward, and Point Guard",Right,Sacramento Kings,"March 10,
            1995
 (Age: 30-200d)

    in Renton, Washington",11 years,"6-5,200lb (196cm, 90kg)"
https://www.basketball-reference.com/players/g/greenja05.html,Jalen Green,Shooting Guard,Right,Phoenix Suns,"February 9,
            2002
 (Age: 23-229d)

    in Merced, California",4 years,"6-4,178lb (193cm, 80kg)"
https://www.basketball-reference.com/players/s/sabondo01.html,Domantas Sabonis,Center and Power Forward,Left,Sacramento Kings,"May 3,
            1996
 (Age: 29-146d)

    in Portland, Oregon",9 years,"6-10,240lb (208cm, 108kg)"
https://www.basketball-reference.com/players/d/doncilu01.html,Luka Dončić,Point Guard and Shooting Guard,Right,Los Angeles Lakers,"February 28,
            1999
 (Age: 26-210d)

    in Ljubljana, Slovenia",7 years,"6-6,230lb (198cm, 104kg)"
https://www.basketball-reference.com/players/c/clarkjo01.html,Jordan Clarkson,Shooting Guard and Point Guard,Right,New York Knicks,"June 7,
            1992
 (Age: 33-111d)

    in Tampa, Florida",11 years,"6-3,194lb (190cm, 87kg)"
https://www.basketball-reference.com/players/m/mitchdo01.html,Donovan Mitchell,Shooting Guard and Point Guard,Right,Cleveland Cavaliers,"September 7,
            1996
 (Age: 29-019d)

    in Elmsford, New York",8 years,"6-3,215lb (190cm, 97kg)"
https://www.basketball-reference.com/players/b/bealbr01.html,Bradley Beal,Shooting Guard,Right,Los Angeles Clippers,"June 28,
            1993
 (Age: 32-090d)

    in St. Louis, Missouri",13 years,"6-4,207lb (193cm, 93kg)"
https://www.basketball-reference.com/players/k/kuzmaky01.html,Kyle Kuzma,Power Forward and Small Forward,Right,Milwaukee Bucks,"July 24,
            1995
 (Age: 30-064d)

    in Flint, Michigan",8 years,"6-9,221lb (206cm, 100kg)"
https://www.basketball-reference.com/players/j/jacksre01.html,Reggie Jackson,Point Guard and Shooting Guard,Right,,"April 16,
            1990
 (Age: 35-163d)

    in Pordenone, Italy",14 years,"6-2,208lb (188cm, 94kg)"
https://www.basketball-reference.com/players/m/moranja01.html,Ja Morant,Point Guard,Right,Memphis Grizzlies,"August 10,
            1999
 (Age: 26-047d)

    in Dalzell, South Carolina",6 years,"6-2,174lb (188cm, 78kg)"
https://www.basketball-reference.com/players/r/reaveau01.html,Austin Reaves,Shooting Guard,Right,Los Angeles Lakers,"May 29,
            1998
 (Age: 27-120d)

    in Newark, Arkansas",4 years,"6-5,206lb (196cm, 93kg)"
