rank,player,age,team_id,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48,id,year
3,Giannis Antetokounmpo,30,MIL,0,470,1000,0.470,67,34.2,30.4,11.9,6.5,0.9,1.2,.601,.222,.617,11.5,.241,/players/a/antetgi01.html,2025
4,Jayson Tatum,26,BOS,0,311,1000,0.311,72,36.4,26.8,8.7,6.0,1.1,0.5,.452,.343,.814,9.5,.174,/players/t/tatumja01.html,2025
5,Donovan Mitchell,28,CLE,0,74,1000,0.074,71,31.4,24.0,4.5,5.0,1.3,0.2,.443,.368,.823,7.6,.163,/players/m/mitchdo01.html,2025
6,LeBron James,40,LAL,0,16,1000,0.016,70,34.9,24.4,7.8,8.2,1.0,0.6,.513,.376,.782,7.7,.152,/players/j/jamesle01.html,2025
7T,Cade Cunningham,23,DET,0,12,1000,0.012,70,35.0,26.1,6.1,9.1,1.0,0.8,.469,.356,.846,5.9,.115,/players/c/cunnica01.html,2025
7T,Anthony Edwards,23,MIN,0,12,1000,0.012,79,36.3,27.6,5.7,4.5,1.2,0.6,.447,.395,.837,8.4,.140,/players/e/edwaran01.html,2025
9,Stephen Curry,36,GSW,0,2,1000,0.002,70,32.2,24.5,4.4,6.0,1.1,0.4,.448,.397,.933,7.9,.168,/players/c/curryst01.html,2025
10T,Jalen Brunson,28,NYK,0,1,1000,0.001,65,35.4,26.0,2.9,7.3,0.9,0.1,.488,.383,.821,8.3,.172,/players/b/brunsja01.html,2025
10T,James Harden,35,LAC,0,1,1000,0.001,79,35.3,22.8,5.8,8.7,1.5,0.7,.410,.352,.874,8.3,.143,/players/h/hardeja01.html,2025
10T,Evan Mobley,23,CLE,0,1,1000,0.001,71,30.5,18.5,9.3,3.2,0.9,1.6,.557,.370,.725,9.0,.200,/players/m/mobleev01.html,2025
